"","rank_position","urban_centre","region","pop_census_2001","pop_census_2006","pop_census_2011","pop_census_2016","location","latitude","longitude"
"29","29","York","Wheatbelt","2,014","2,088","2,387","2,548","York, WA",-31.8889034,116.7691483
"30","30","Donnybrook","South West","1,618","1,933","2,234","2,520","Donnybrook, WA",-33.5773757,115.8251293
"31","31","Exmouth","Gascoyne","3,031","1,844","2,207","2,486","Exmouth, WA",-22.29247155,114.146958632811
"32","32","Waroona","Peel","1,770","1,864","2,157","2,397","Waroona, WA",-32.8492605,115.908251081166
"33","33","Two Rocks","Perth metropolitan region","1,508","1,628","1,853","2,269","Two Rocks, WA",-31.4952724,115.5910594
"34","34","Drummond Cove","Mid West","540","759","1,391","2,052","Drummond Cove, WA",-28.6712872,114.6169888
"35","35","Capel","South West","1,415","1,464","1,865","2,020","Capel, WA",-33.51926685,115.606464832111
"36","36","Mount Barker","Great Southern","1,721","1,761","1,795","1,905","Mount Barker, WA",-34.6220807,117.6641727
"37","37","Bullsbrook","Perth metropolitan region","1,145","1,206","1,255","1,887","Bullsbrook, WA",-31.6696327,115.9979333
"38","38","Kambalda West","Goldfields–Esperance","2,850","2,706","1,843","1,789","Kambalda West, WA",-31.2111804,121.6230719
"39","39","Little Grove","Great Southern","1,281","1,363","1,540","1,703","Little Grove, WA",-35.067729,117.868183777933
"40","40","Moora","Wheatbelt","1,716","1,605","1,650","1,577","Moora, WA",-30.516414,116.206496989923
"41","41","Wickham","Pilbara","1,724","1,825","1,651","1,572","Wickham, WA",-20.6760144,117.1400862
"42","42","Cowaramup","South West","375","569","795","1,546","Cowaramup, WA",-33.8512674,115.1029727
"43","43","Halls Creek","Kimberley","1,264","1,211","1,443","1,546","Halls Creek, WA",-19.0089296,127.731767627238
"44","44","Mundijong","Peel","806","877","1,429","1,484","Mundijong, WA",-32.2958316,115.9851981
"45","45","Bridgetown","South West","2,099","2,324","1,515","1,448","Bridgetown, WA",44.8414196,-65.2901844
"46","46","Jurien Bay","Wheatbelt","1,143","1,173","1,261","1,425","Jurien Bay, WA",-30.3040478,115.0406027
"47","47","Paraburdoo","Pilbara","1,202","1,607","1,509","1,359","Paraburdoo, WA",-23.192061,117.691556802346
"48","48","Wagin","Wheatbelt","1,281","1,427","1,365","1,358","Wagin, WA",-33.2779075,117.378856938107
"49","49","Kalbarri","Mid West","2,125","1,332","1,277","1,349","Kalbarri, WA",-27.7109989,114.1638162
"50","50","Serpentine","Peel","327","763","1,089","1,265","Serpentine, WA",-32.3617148,115.9767793
"51","51","Binningup","South West","745","950","1,010","1,227","Binningup, WA",-33.141094,115.71513684878
"52","52","Kojonup","Great Southern","1,123","1,122","1,132","1,165","Kojonup, WA",-33.925403,117.055491513975
"53","53","Boddington-Ranford","Peel","968","928","1,107","1,147","Boddington-Ranford, WA",-32.79612,116.48098
"54","54","Fitzroy Crossing","Kimberley","1,450","928","1,144","1,141","Fitzroy Crossing, WA",-18.1930007,125.5668349
"55","55","Augusta","South West","1,091","1,068","1,022","1,109","Augusta, WA",48.3668041,10.8986971
"56","56","Dampier","Pilbara","1,469","1,370","1,341","1,104","Dampier, WA",-20.6624798,116.7119013
